"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-05-08","2017-05-14",2017,14,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-05-15","2017-05-21",2017,20,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-05-22","2017-05-28",2017,16,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-07-17","2017-07-23",2017,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2018-07-02","2018-07-08",2018,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2018-Y01-01"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2018-11-12","2018-11-18",2018,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2018-Y01-01"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2018-12-10","2018-12-16",2018,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2018-Y01-01"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2019-06-17","2019-06-23",2019,4,"Suspected","Admin0","Week","WHOWPRO-PICs-2019-Y01-02"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2019-06-24","2019-06-30",2019,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2019-Y01-02"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2019-07-29","2019-08-04",2019,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2019-Y01-02"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2019-08-05","2019-08-11",2019,0,"Suspected","Admin0","Week","WHOWPRO-PICs-2019-Y01-02"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2000-01-01","2000-12-31",2000,3,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2001-01-01","2001-12-31",2001,25,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2002-01-01","2002-12-31",2002,5,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2003-01-01","2003-12-31",2003,2,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2004-01-01","2004-12-31",2004,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2005-01-01","2005-12-31",2005,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2006-01-01","2006-12-31",2006,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2007-01-01","2007-12-31",2007,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
